Date,GR_Q,BR_Q
17/09/2005,0.224202662,0.618799347
18/09/2005,0.189031487,0.521726904
19/09/2005,2.567942993,7.087522662
20/09/2005,0.332586487,0.917938703
21/09/2005,0.890577503,2.457993909
22/09/2005,1.279187371,3.530557145
23/09/2005,0.841799056,2.323365394
24/09/2005,2.442987229,6.742644753
25/09/2005,1.072306701,2.959566494
26/09/2005,3.781482637,10.43689208
27/09/2005,0.731571212,2.019136546
28/09/2005,2.625167744,7.245462973
29/09/2005,2.150533511,5.935472489
30/09/2005,1.890694537,5.218316923
01/10/2005,0.691223198,1.907776028
02/10/2005,0.318835407,0.879985723
03/10/2005,0.240807537,0.664628801
04/10/2005,0.230602357,0.636462507
05/10/2005,0.201149235,0.55517189
06/10/2005,0.184915289,0.510366198
07/10/2005,0.618611322,1.707367248
08/10/2005,0.510019574,1.407654023
09/10/2005,1.03400184,2.853845079
10/10/2005,2.72715378,7.526944434
11/10/2005,0.54209763,1.496189457
12/10/2005,0.285727024,0.788606587
13/10/2005,0.221693722,0.611874673
14/10/2005,0.194101613,0.535720452
15/10/2005,0.185553445,0.512127508
16/10/2005,0.178168199,0.491744229
17/10/2005,0.191533308,0.528631929
18/10/2005,0.356335906,0.983487101
19/10/2005,0.343319675,0.947562304
20/10/2005,0.504333002,1.391959084
21/10/2005,1.129306446,3.116885791
22/10/2005,0.557881817,1.539753814
23/10/2005,1.808465605,4.991365069
24/10/2005,1.953989484,5.393010976
25/10/2005,0.862947074,2.381733925
26/10/2005,1.657251083,4.574012989
27/10/2005,2.823267644,7.792218697
28/10/2005,0.765164623,2.111854361
29/10/2005,1.644843537,4.539768162
30/10/2005,0.664178103,1.833131565
31/10/2005,1.315046216,3.629527556
01/11/2005,0.543023336,1.498744407
02/11/2005,3.52107762,9.718174232
03/11/2005,3.936600568,10.86501757
04/11/2005,1.518304871,4.190521443
05/11/2005,2.608762691,7.200185027
06/11/2005,1.34554512,3.713704531
07/11/2005,2.617037791,7.223024304
08/11/2005,0.992942156,2.740520352
09/11/2005,4.731564408,13.05911777
10/11/2005,3.053255513,8.426985216
11/11/2005,2.137889813,5.900575884
12/11/2005,1.909010759,5.268869694
13/11/2005,0.536045922,1.479486744
14/11/2005,0.896759532,2.475056308
15/11/2005,1.687365789,4.657129578
16/11/2005,0.384069645,1.060032221
17/11/2005,0.281284982,0.776346551
18/11/2005,0.2402809,0.663175284
19/11/2005,0.217725481,0.600922327
20/11/2005,0.203283565,0.561062639
21/11/2005,0.190728741,0.526411326
22/11/2005,0.186313691,0.514225787
23/11/2005,0.178711232,0.493243
24/11/2005,0.21609425,0.596420129
25/11/2005,0.682398266,1.883419214
26/11/2005,1.295152211,3.574620102
27/11/2005,0.496114615,1.369276337
28/11/2005,0.465208726,1.283976084
29/11/2005,3.486377672,9.622402375
30/11/2005,1.307828163,3.609605731
01/12/2005,1.550859297,4.280371661
02/12/2005,2.38548624,6.583942022
03/12/2005,1.402645645,3.87130198
04/12/2005,1.508870311,4.164482057
05/12/2005,0.545745451,1.506257444
06/12/2005,0.935101068,2.580878946
07/12/2005,2.869062763,7.918613226
08/12/2005,1.199695824,3.311160475
09/12/2005,4.900602536,13.525663
10/12/2005,1.11862397,3.087402156
11/12/2005,0.617391931,1.704001728
12/12/2005,0.418100097,1.153956269
13/12/2005,0.2942215,0.81205134
14/12/2005,0.366462236,1.01143577
15/12/2005,0.32506246,0.89717239
16/12/2005,1.64171081,4.531121837
17/12/2005,0.460661196,1.271424902
18/12/2005,1.998250124,5.515170341
19/12/2005,0.643629252,1.776416736
20/12/2005,1.270105467,3.505491089
21/12/2005,1.332453784,3.677572443
22/12/2005,1.158427322,3.197259409
23/12/2005,2.596309857,7.165815207
24/12/2005,0.838802375,2.315094556
25/12/2005,0.41800674,1.153698602
26/12/2005,0.298875646,0.824896783
27/12/2005,0.25210062,0.695797711
28/12/2005,0.224057801,0.61839953
29/12/2005,1.147141921,3.166111703
30/12/2005,3.085081501,8.514824943
31/12/2005,2.037348494,5.623081843
01/01/2006,1.479369828,4.083060726
02/01/2006,2.138219385,5.901485502
03/01/2006,1.064675888,2.93850545
04/01/2006,0.443285936,1.223469184
05/01/2006,1.666227949,4.59878914
06/01/2006,1.467618334,4.050626601
